,text,label
0,"Ibuprofen is a non-steroidal anti-inflammatory drug that is often used to relieve pain and reduce fever. It works by decreasing the production of prostaglandins, which are responsible for inflammation and pain. Many people find ibuprofen to be an effective and safe medication to manage their pain.",0
1,"Some people may experience adverse reactions when taking ibuprofen, such as stomach irritation, discomfort, and even ulcers. Additionally, some individuals may be allergic to ibuprofen, causing symptoms like rash, difficulty breathing, and swelling of the face, tongue, or throat.",1
2,"Zyrtec is an antihistamine medication used for seasonal allergies and managing hives. It works by blocking the action of histamine, which causes allergy symptoms. Many people find Zyrtec to be a great over-the-counter option for managing their allergies.",0
3,"However, some people experience adverse reactions when taking Zyrtec, such as drowsiness, dry mouth, dizziness, and headache. In rare cases, individuals may experience an allergic reaction, causing symptoms like hives, difficulty breathing, and swelling of the face, lips, or tongue.",1
4,"Ventolin is a medication used to manage asthma symptoms and prevent exercise-induced bronchospasm. It works by relaxing the muscles in the airways, allowing more air to flow through. Many people find Ventolin to be a lifesaving medication that helps them breathe easier.",0
5,"However, some people may experience adverse reactions when taking Ventolin, such as tremors, rapid heartbeat, headache, and nervousness. People who are sensitive to albuterol, the active ingredient in Ventolin, may experience severe reactions like allergic reactions and difficulty breathing.",1
6,"Lipitor is a medication used to lower cholesterol levels in the blood, reducing the risk of heart disease and stroke. It works by blocking the production of cholesterol in the liver. Many people find Lipitor to be an effective way to manage their cholesterol levels and improve their overall health.",0
7,"However, some people may experience adverse reactions when taking Lipitor, such as muscle pain, weakness, and tenderness. In rare cases, individuals may develop rhabdomyolysis, a severe and potentially fatal condition where muscle fibers break down and release harmful substances into the bloodstream.",1
8,"Prozac is a medication used to treat depression, obsessive-compulsive disorder, and anxiety disorders. It works by increasing the level of serotonin in the brain, which improves mood and reduces anxiety. Many people find Prozac to be an effective and safe medication for managing their mental health.",0
9,"However, some people may experience adverse reactions when taking Prozac, such as nausea, headache, and trouble sleeping. In rare cases, individuals may experience more severe side effects like suicidal thoughts or behavior, especially in children and adolescents.",1
10,"Metformin is a medication used to manage type 2 diabetes by reducing the amount of glucose produced by the liver. It also improves insulin sensitivity, making it easier for the body to use insulin effectively. Many people find metformin to be an effective medication for managing their diabetes.",0
11,"However, some people may experience adverse reactions when taking metformin, such as nausea, diarrhea, and abdominal discomfort. In rare cases, individuals may develop lactic acidosis, a potentially life-threatening condition where the blood becomes too acidic.",1
12,"Tylenol is an over-the-counter medication used to relieve pain and reduce fever. It works by blocking the production of prostaglandins, which are responsible for inflammation and pain. Many people find Tylenol to be a safe and effective medication for managing their pain.",0
13,"However, some people may experience adverse reactions when taking Tylenol, such as liver damage, if they take too much of the medication. Additionally, some individuals may be allergic to Tylenol, causing symptoms like rash, difficulty breathing, and swelling of the face, tongue, or throat.",1
